￥,1
？,3893
；,1182
：,11696
．,24
＋,1
！,6044
,1
,1
,1
龟,36
龛,1
龚,1
龙,867
龈,1
龄,11
龁,1
齿,78
齑,2
齐,522
齆,2
齁,2
鼾,12
鼻,97
鼠,23
鼓,142
鼎,13
鼍,30
鼋,48
黯,2
黠,1
黛,7
默,36
黑,222
黎,27
黍,4
黄,372
麾,2
麻,78
麦,11
麟,17
麝,6
麖,1
麓,1
麒,16
麋,7
麈,1
麂,10
鹿,102
鹳,1
鹰,56
鹭,9
鹫,8
鹧,4
鹦,15
鹥,1
鹤,71
鹞,7
鹜,1
鹚,3
鹗,1
鹑,1
鹐,1
鹏,15
鹌,1
鹊,19
鹉,4
鹅,39
鹄,1
鹃,5
鹂,7
鹁,1
鸿,12
鸾,39
鸽,1
鸶,3
鸳,10
鸯,7
鸭,7
鸬,1
鸪,4
鸨,3
鸦,30
鸥,6
鸣,84
鸡,85
鸟,89
鷫,1
鷃,1
鴏,3
鳷,3
鳠,1
鳞,39
鳝,1
鳜,20
鳖,20
鳏,1
鳌,9
鳅,2
鲻,1
鲸,4
鲳,1
鲲,2
鲮,3
鲭,3
鲫,1
鲨,2
鲥,2
鲤,24
鲜,40
鲙,1
鲍,1
鲌,4
鲊,2
鲈,2
鲇,10
鲆,1
鲅,1
鲂,1
鲁,27
鱼,129
鱨,1
鱑,3
鯾,4
鮆,1
魔,874
魑,5
魏,52
魍,9
魉,9
魈,3
魇,6
魅,15
魄,53
魂,170
魁,5
魀,5
鬼,293
鬣,6
鬟,16
鬘,1
鬓,31
鬏,1
鬅,1
鬃,16
髽,3
髻,22
髯,13
髭,3
高,780
髓,8
髅,16
骸,17
骷,17
骨,142
骦,2
骥,1
骤,8
骢,4
骡,9
骠,1
骞,1
骝,3
骘,3
骗,53
骕,2
骑,51
骐,1
骏,8
验,27
骋,11
骊,3
骈,2
骇,8
骆,3
骅,2
骄,1
骂,238
骁,14
驿,89
驾,354
驽,1
驼,28
驻,3
驹,2
驸,64
驷,2
驴,7
驱,7
驰,5
驯,8
驮,114
马,1142
騠,1
騕,1
騔,1
騊,1
騄,1
騂,2
駼,1
駬,1
駔,2
駃,1
馨,9
馥,21
香,456
首,186
馕,13
馔,8
馒,9
馑,1
馐,11
馍,38
馋,4
馉,1
馆,75
馅,8
馁,5
馀,12
饿,55
饼,33
饷,2
饶,183
饵,5
饳,1
饲,1
饱,57
饰,14
饯,4
饮,122
饭,272
饫,1
饧,3
饥,60
餪,1
餐,52
餂,5
食,158
飞,458
飘,149
飖,9
飕,25
飒,23
风,1042
颧,2
颤,7
颠,27
额,23
颜,59
题,178
颗,41
颖,4
颔,7
颓,9
频,12
颐,1
颏,2
颉,1
颈,28
颇,14
领,313
颅,3
预,21
颂,15
颁,2
顿,132
顾,105
顽,80
须,370
顺,103
项,58
顷,64
顶,238
韶,2
韵,18
音,323
韭,1
韬,5
韩,6
韂,4
鞭,60
鞦,1
鞠,3
鞘,3
鞒,1
鞑,2
鞍,52
鞋,58
鞄,1
靿,2
靼,2
靸,1
靴,25
靦,3
面,955
靡,1
靠,23
非,153
靛,15
静,124
靖,4
青,277
霾,2
霹,11
霸,4
露,92
霭,43
霞,103
霜,54
霖,4
霓,16
霏,2
霎,42
霍,1
霉,1
震,10
霆,6
霄,124
霁,2
需,3
雾,231
雹,1
雷,268
零,32
雳,11
雪,104
雨,303
雕,41
雏,10
雍,1
雌,20
雉,4
雇,4
集,39
雅,30
雄,119
雁,24
雀,35
难,714
隶,3
障,26
隙,5
隘,1
隔,35
隐,102
随,396
隍,19
隋,1
隆,10
隅,5
陷,30
陶,12
陵,16
陲,1
陪,91
险,59
除,118
院,165
陡,29
陛,170
陕,2
限,22
降,435
陌,8
陋,27
陈,153
陆,17
际,35
附,16
陀,54
阿,76
阻,69
阶,72
阵,233
阴,278
阳,221
防,48
阮,1
阡,1
队,16
阜,1
阙,48
阖,2
阕,1
阔,49
阒,1
阑,1
阐,9
阎,78
阊,2
阇,4
阆,4
阅,3
阃,1
阁,120
闾,1
闽,1
闻,863
闺,4
闹,146
闸,2
闷,45
间,739
闲,125
闱,3
闰,9
闯,48
问,928
闭,83
闪,145
门,1803
长,1394
镶,5
镵,1
镰,3
镯,2
镫,5
镟,1
镜,29
镕,1
镔,2
镌,8
镇,70
镂,1
锻,6
锺,51
锯,13
键,1
锭,11
锦,191
锥,2
锤,38
锣,36
锢,2
锡,43
锟,4
锚,1
错,91
锐,17
锋,81
锉,12
锈,5
锅,97
锄,6
锁,126
销,13
铿,1
链,2
铺,102
铸,14
银,208
铳,1
铲,21
铭,2
铩,1
铣,1
铠,9
铜,91
铛,2
铙,29
铎,6
铊,2
铇,1
铅,7
铄,1
铃,96
铁,443
钿,3
钻,211
钺,17
钹,10
钵,72
钳,8
钱,134
钯,315
钮,2
钩,58
钧,7
钦,108
钥,6
钤,3
钢,100
钟,79
钞,8
钝,3
钗,16
钓,18
钏,1
钉,173
针,64
鑨,1
鐏,4
鐄,3
鏖,2
鍪,2
鋘,3
銮,55
鉴,14
金,1377
量,121
野,133
重,260
里,2833
释,35
采,74
醺,2
醴,4
醮,7
醪,5
醒,102
醐,2
醍,2
醋,10
醉,25
醄,2
酿,6
酾,1
酸,20
酷,2
酲,2
酱,20
酬,42
酪,4
酩,2
酥,26
酣,9
酡,2
酝,1
酗,1
酕,2
酒,300
配,63
